,Review_title,Rate,Review_body
0,Best in the market!,5,"wow wow wow....as expected with this you should need converter 24mm prime ,50mm prime, and 10 18 wide angel and you are readyREAD MORE"
1,Highly recommended,5,Loving it day by day ❤️❤️READ MORE
2,Perfect product!,5,One of the best camREAD MORE
3,Brilliant,5,"This is an amazing camera to begin with. Even with kit lens, photos are amazingREAD MORE"
4,Classy product,5,Nice oneREAD MORE
5,Simply awesome,5,Excellent Camera for learners......READ MORE
6,Highly recommended,5,good camera canon m50 mark iiREAD MORE
7,Terrific purchase,5,Excellent mirrorless camera for a beginnerREAD MORE
8,Just wow!,5,After long wait I have got the beauty in my hand.. 👍🏽👍🏽yet to be reviewed..READ MORE
9,Great product,5,"Good Camera for Beginners. Very Light unlike DSLRs, Easy to Operate and Great Quality of Photograph.READ MORE"
10,,,"wow wow wow....as expected with this you should need converter 24mm prime ,50mm prime, and 10 18 wide angel and you are readyREAD MORE"
11,,,Loving it day by day ❤️❤️READ MORE
12,,,One of the best camREAD MORE
13,,,"This is an amazing camera to begin with. Even with kit lens, photos are amazingREAD MORE"
14,,,Nice oneREAD MORE
15,,,Excellent Camera for learners......READ MORE
16,,,good camera canon m50 mark iiREAD MORE
17,,,Excellent mirrorless camera for a beginnerREAD MORE
18,,,After long wait I have got the beauty in my hand.. 👍🏽👍🏽yet to be reviewed..READ MORE
19,,,"Good Camera for Beginners. Very Light unlike DSLRs, Easy to Operate and Great Quality of Photograph.READ MORE"
